masterpiece,명작
pants_rolled_up,발목과 무릎 사이가 접힌 바지
shorts,반바지
denim_shorts,데님 반바지
bike_shorts,자전거 반바지
gym_shorts,체육복 반바지
buruma,부루마
bloomers,블루머
dolphin_shorts,돌핀 팬츠
short_shorts,짧은 반바지
lowleg_shorts,살짝 짧은 반바지
micro_shorts,매우 짧은 반바지
shorts_under_skirt,치마 아래 반바지
long_skirt,긴 치마
miniskirt,짧은 치마
lowleg_skirt,살짝 짧은 치마
micro_skirt,매우 짦은 치마
high-waist_skirt,매우 넓은 치마
wrap_skirt,랩 스커트
layered_skirt,레이어드 스커트
mermaid_skirt,머메이드 스커트
overall_skirt,멜빵 치마
suspender_skirt,멜빵이 잡는 치마
skirt_pants,치마 바지
tight_skirt,타이트 스커트
tulip_skirt,튤립 스커트
pannier_skirt,파니에 스커트
flared_skirt,플레어 스커트
pleated_skirt,플리츠 스커트
pinapo_dress,피나포 드레스
bandeau,가슴 가리개
bustier,뷔스티에
camisole,캐미솔
corset,코르셋
bra_strap,브래지어 끈
adhesive_bra,접착 브래지어
beltbra,벨트 브래지어
frilled_bra,프릴 브래지어
bow_bra,리본 브래지어
sports_bra,스포츠 브래지어
training_bra,트레이닝 브래지어
cupless_bra,노출된 브래지어
shelf_bra,노출된 브래이저
strapless_bra,끈이 없는 브래지어
front-tie_bra,끈이 묶인 브래지어
front-hook_bra,끈이 풀린 브래지어
thong,T 팬티
bow_panties,삼각형 팬티
side-tie_panties,끈(양쪽) 팬티
string_panties,끈 팬티
crotchless_panties,가랑이가 노출된 팬티
crotch_seam,가랑이가 보이는 팬티
strapless_bottom,가랑이만 노출된 팬티
backless_panties,엉덩이만 노출된 팬티
frilled_panties,팬티가 주름 있다
loose_panties,팬티가 느슨하다
micro_panties,팬티가 매우 작다
lowleg_panties,팬티가 매우 짧다
highleg_panties,팬티가 짧고 길다
sizes_of_panties,팬티가 매우 크다
socks,양말
tabi,버선
ankle_socks,발목 양말
bobby_socks,바비 양말
loose_socks,헐랑한 양말
toe_socks,발가략 양말
tube_socks,튜브 양말
stocking,스타킹
leggings,레깅스
high_legs,하이레그
detached_leggings,분리된 레깅스
pantyhose,팬티 스타킹
kneehighs,니 삭스
over-kneehighs,오버 니 삭스
thighhighs,하이 식스
thigh_high_socks,사이 하이 삭스
thigh_strap,허벅지 끈
garter_belt,가터벨트
garter_straps,가터 스트랩
legwear_garter,레그웨어 가터
shiny_legwear,반짝이는 양말
armored_legwear,보호하는 양말
lace-up_legwear,위로 올리는 양말
see-through_legwear,비쳐 보이는 양말
toeless_legwear,발가락만 보이는 양말
bridal_legwear,발가락이 보이는 양말
seamed_legwear,선이 있는 양말
front-seamed_legwear,앞에 선 있는 양말
back-seamed_legwear,뒤에 선 있는 양말
side-seamed_legwear,옆에 선 있는 양말
stirrup_legwear,등자가 달린 양말
spiked_legwear,스파이크 달린 양말
zipper_legwear,지퍼 달린 양말
studded_legwear,징이 박힌 양말
lace-trimmed_legwear,레이스 장식 달린 양말
ribbon-trimmed_legwear,리본 장식 다린 쟝암ㄹ
ribbon_legwear,리본이 달린 양말
fur-trimmed_legwear,모피 장식 달린 양말
o-ring_legwear,원형 고리 장식
legwear_bell,종 장식이 달린 양말
sneakers,운동화
high_tops,하이탑
loafers,교복 신발
pumps,정장 신발
flats,중국 신발
mary_janes,영국 신발
uwabaki,학교 실내화
pointy_footwear,뾰족한 신발
kiltie_loafers,끈 달린 교복 신발
footwear_ribbon,리본 달린 신발
cross-laced_footwear,끈이 달린 신발
platform_footwear,두꺼운 굽 있는 신발
toeless_footwear,발가락이 보이는 신발
winged_footwear,발꿈치에 날개 달린 신발
high_heels,하이힐
wedge_heels,웨지힐
boots,부츠
knee_boots,무릎 부츠
ankle_boots,발목 부츠
lace-up_boots,발목 위 부츠
thigh_boots,허벅지 부츠
armored_boots,보호 부츠
high_heel_boots,하이힐 부츠
rubber_boots,고무 장화
cowboy_boots,카우보이 부츠
sandals,샌들
clog_sandals,나막신 샌들
gladiator_sandals,검투사 샌들
cross-laced_sandals,끈이 얽힌 샌들
flip-flops,발목이 고정되지 않는 샌들
hairband,머리띠
headdress,머리 장식
hair_ribbon,머리 리본
forehead_protector,이마 보호대
sweatband,땀띠
bow_hairband,양갈래 머리띠
frilled_hairband,프릴 머리띠
lace_hairband,레이스 머리띠
lace-trimmed_hairband,레이스 장식 머리띠
lolita_hairband,로리라 머리띠
spiked_hairband,스파이크 머리티
striped_hairband,줄무늬 머리띠
two-tone_hairband,투 톤 머리띠
winged_hairband,날개 달린
maid_headdress,메이드 머리 장식
beret,베레모
sombrero,멕시코 모자
beanie,비니
fur_hat,모피 모자
nightcap,수면 모자
party_hat,파티 모자
nurse_cap,간호사 모자
jester_cap,광대 모자
kepi,군사 모자
shako_cap,군용 모자
tate_eboshi,귀족 모자
witch_hat,마녀 모자
mini_witch_hat,작은 마녀 모자
wizard_hat,마법사 모자
top_hat,마술사 모자
mini_top_hat,작은 마술사 모자
santa_hat,산타
mini_santa_hat,미니 산타
straw_hat,밀짚모자
aviator_cap,비행사 모자
mitre,사제 모자
sailor_hat,선원 모자
baseball_cap,야구 모자
female_service_cap,여성 유니폼 모자
chef_hat,요리사 모자
toque_blanche,빵 요리사 모자
flat_top_chef_hat,접힌 요리사 모자
tsunokakushi,일본 결혼식 모자
mortarboard_collage_graduation_hat,졸업 모자
cowboy_hat,카우보이 모자
deerstalker,탐정 모자
pith_helmet,탐험가 모자
tokin_hat,텐구 모자
dixie_cup_hat,해군 모자
bicorne,해적 모자
cloche_hat,동그란 모자
visor_cap,바이저 캡
peaked_cap,뾰족한 모자
tricorne,삼각뿔 모자
garrison_cap,삼각형 모자
fez_hat,원통형 모자
bowler_hat,챙이 작은 모자
sun_hat,챙이 긴 모자
boater_hat,챙이 넓고 납작한 모자
bucket_hat,폭이 넓고 길쭉한 모짜
flat_cap,한쪽으로 기울인 모자
mob_cap,머리카락을 덮는 모자
winged_helmet,날개 달린 헬맷
diving_helmet,다이빙 헬맷
pickelhaube,독일군 헬맷
american_football_helmet,미식축구
horned_helmet,뿔 달린 헬맷
baseball_helmet,야구 헬맷
motorcycle_helmet,오토바이 헬멧
bicycle_helmet,자전거 헬맷
veil,베일
bonnet,보닛
circlet,서클릿
crowns,왕관
mini_crown,작은 왕관
diadem,천 왕관
tiara,티아라
hijab,히잡
goggles,고글
monocle,단안경
opera_glasses,오페라 안경
diving_mask,다이빙 안경
safety_glasses,보호 안결
flight_goggles,비행 고글
aviator_sunglasses,비행가 안경
shooting_glasses,사격 안경
ski_goggles,스키 고글
coke-bottle_glasses,연구원 안경
round_eyewear,둥근 모양 안경
rectangular_eyewear,직사각형 안경
heart-shaped_eyewear,하트 모양 안경
star-shaped_eyewear,별 모양 안경
teardrop-framed_glasses,눈물 모양 안경
funny_glasses,재밌는 안결
triangular_eyewear,반투명한 안경
opaque_glasses,불투명한 안경
lorgnette,손으로 잡는 안경
pince-nez,콧대에 지지하는 안경
eyewear_strap,안경끈 달린 안경
rimless_eyewear,안경테가 없는 안경
over-rim_eyewear,안경테가 두꺼운 안경
under-rim_eyewear,안경테가 위쪽만 있는 안경
semi-rimless_eyewear,안경테가 하단만 있는 안경
clown_mask,광대 가면
ninja_mask,닌자 가면
domino_mask,도미노 가면
wrestling_mask,레슬링
luchador_mask,루차도르 가면
eye_mask,안대
plague_doctor_mask,역병의사 가면
oni_mask,오니 마스크
carnival_mask,축제 가면
character_mask,캐릭터 가면
hockey_mask,하키 가면
skull_mask,해골 마스크
hyottoko_mask,효토코 가면
gas_mask,방독면
oxygen_mask,산소 마스크
sleep_mask,수면 마스크
surgical_mask,수술 마스크
welding_mask,용접 마스크
broken_mask,깨진 가면
half_mask,반쪽 가면
mouth_mask,입 가면
mouth_veil,입 베일
tongue_piercing,혀 피어싱
nose_piercing,코 피어싱
ear_piercing,귀 피어싱
collarbone_piercing,배꼽 피어싱
single_earring,귀걸이 한 개
multiple_earrings,귀걸이 여러 개
industrial_piercing,위쪽 귀 두 개 피어싱
eyebrow_piercing,눈썹 피어싱
anti-eyebrow_piercing,눈썹 아래 피어싱
eyelid_piercing,눈꺼풀 피어싱
magatama_earrings,곡옥 귀걸이
tassel_earrings,술이 달린 귀걸이
shell_earrings,쉘 귀걸이
yin_yang_earrings,음양사 귀걸이
bell_earrings,종 귀걸이
crescent_earrings,초승달 귀걸이
pom_pom_earrings,털 장식 귀걸이
skull_earrings,해골 귀걸이
flower_earrings,꽃 귀걸이
crystal_earrings,수정 귀걸이
snowflake_earrings,눈송이 귀걸이
strawberry_earrings,딸기 귀걸이
star_earrings,별 귀걸이
spade_earrings,스페이드 귀걸이
cross_earrings,십자가 귀걸이
pill_earrings,알약 귀걸이
heart_earrings,하트 귀걸이
planet_earrings,행성 귀걸이
scarf,스카프
cravate,크라밧
jabot,자벳
ascot_tie,애스콧 타이
bowtie,나비 넥타이
stock_tie,스톡 타이
bolo_tie,볼로 타이
neck_ribbon,리본 타이
cross_tie,끈 타이
choker,쵸커
ribbon_choker,리본 쵸커
bell_choker,종 쵸커
necklace,목걸이
locket,로켓
amulet,팬던트
pentacle,팬타클
flower_necklace,꽃 목걸이
pendant,진주 목걸이
chain_necklace,체인 목걸이
magatama,마가타마(일본 옥 목걸이)
neckerchief,목도리
lanyard,사원증
stole,스톨
headphones_around_neck,헤드폰
rubber_gloves,고무 장갑
leather_gloves,가죽 장갑
plastic_gloves,비닐 장갑
latex_gloves,라텍스 장갑
martial_arts_gloves,격투기 장갑
goalkeeper_gloves,골키퍼 장갑
golf_gloves,골프 장갑
boxing_club,권투 클러브
billiard_gloves,당구 장갑
climbing_gloves,등산용 장갑
racing_gloves,레이싱 글러브
ice_gloves,빙상용 장갑
ski_gloves,스키 장갑
baseball_glove,야구 장갑
motorcycle_gloves,오토바이 장갑
health_glove,헬스 글러브
opera_glove,오페라 글러브
ceremonial_cotton_gloves,의례용 면장갑
safety_gloves,안전 장갑
tactical_gloves,전술 장갑
combat_gloves,전투용 장갑
heat-dissipating_gloves,방열 장갑
gas-proof_gloves,방검 장갑
cold_gloves,방한 장갑
wing_ears,날개 달린 귀
wing_ribbon,날개 리본
winged_hat,날개 달린 모자
winged_bag,날개 달린 가방
tail_ring,꼬리 고리
tail_bow,꼬리 리본
tail_ornament,꼬리 장식품
tail_bell,꼬리 종
tail_piercing,꼬리 피어싱
crawling,네 발로 걷다
all_fours,네 발로 서다
top-down_bottom-up,네 발로 서서 엉덩이를 들다
prostration,네 발을 들고 복종하다
walking,두 발로 걷다
running,두 발로 달리다
jumping,두 발로 점프하다
handstand,물구나무서다
battoujutsu_stance,발도 자세를 잡는다
upside-down,상하반전
balancing,서서 균형을 잡다
wallwalking,손으로 벽을 타다
superhero_landing,슈퍼 히어로 랜딩
stretching,스트레칭
fighting_stance,싸울 자세를 잡는다
standing,양쪽 다리로 서다
faceplant,얼굴로 떨어지다
contrapposto,엉덩이를 내밀다
full_scorpion,전갈 자세를 잡는다
standing_on_one_leg,한쪽 다리로 서다
sitting,앉다
butterfly_sitting,나비처럼 앉다
seiza,일본식으로 앉다
sitting_on_lap,무릎 위에 앉다
sitting_on_person,사람 위에 앉다
squatting,쪼그려 앉다
wariza,양쪽으로 앉다
yokozuwari,한쪽으로 앉다
lying,눕다
crossed_legs,누워서 다리를 꼬다
fetal_position,누워서 웅크리다
on_back,뒤로 눕다
on_side,옆으로 눕다
on_stomach,엎드려 눕다
reclining,기대다
leaning,몸을 기대다
leaning_forward,몸을 앞으로 기대다
leaning_back,몸을 뒤로 기대다
leaning_on_person,몸을 사람에게 기대다
leaning_on_object,몸을 물건에 기대다
against_wall,몸을 벽에 기대다
against_tree,몸을 나무에 기대다
against_glass,몸을 펜스에 기대다
leaning_against_car,몸을 차량에 기대다
leaning_against_motorcycle,몸을 오토바이에 기대다
leaning_against_vehicle,몸을 옆으로 기대다
hug,껴안다
tail_hug,꼬리로 껴안다
wing_hug,날개로 껴안다
hugging_own_legs,다리를 껴안다
hug_from_behind,뒤에서 껴안다
object_hug,물건을 껴안다
arm_hug,팔로 껴안다
waist_hug,허리를 껴안다
hugging_doable_by_one_or_more_characters,1명 이상을 껴안다
2posture_of_at_least_two_characters,2명 이상을 껴안다
2hugging_doable_by_two_or_more_characters,2명 이상을 포옹하다
torso_inclination,등을 기울이다
slouching,등이 구부정하다
twisted_torso,등을 뒤틀다
arched_back,등이 휘었다
bent_over,등을 구부렸다
carried_breast_rest,가슴을 들다
carrying_under_arm,겨드랑이에 끼고 들다
princess_carry,공주님 안기
carrying,들쳐매다
piggyback,등에 엎고 나르다
carrying_someone,사람을 들쳐매다
fireman's_carry,소방관처럼 들다
baby_carry,아기를 안다
child_carry,아이를 들다
carrying_over_shoulder,어깨 위로 들쳐매다
standing_on_shoulder,어깨 위에 서다
sitting_on_shoulder,어깨 위에 앉다
shoulder_carry,어깨로 부축하다
frogtie,개구리처럼 묶다
bound_legs,다리를 묶다
separated_legs,다리를 묶어 떨어뜨리다
bound_torso,몸을 묶다
bound_knees,무릎을 묶다
bound_feet,발을 묶다
suspension,사람을 묶어 매달았다
strappado,사람을 묶어 장식한다
bound_wrists,손목을 묶다
separated_wrists,손목을 묶어 떨어뜨리다
crucifixion,온몸이 묶이다
bound_calves,종아리를 묶다
hogtie,팔과 다리를 뒤로 묶다
box_tie,팔을 뒤로 묶다
bound_arms,팔을 묶다
separated_arms,팔을 묶어 떨어뜨리다
bound_thighs,허벅지를 묶다
straddling,사람을 올리다
thigh_straddling,사람을 허벅지에 올리다
upright_straddle,사람을 마주보며 올리다
eyecontact,눈을 맞추다
leglock,다리를 잡는다
back-to-back,등을 맞대다
cheek-to-cheek,뺨을 맞대다
holding_hands,손을 잡는다
head+stogether,머리를 맞대다
forehead-to-forehead,이마를 맞대다
light_face,가벼운 표정
touched_face,감동한 표정
happy_face,기쁜 표정
surprised_face,놀란 표정
easygoing_face,느긋한 표정
giddy_face,들뜬 표정
shameful_face,부끄러운 표정
envious_face,부러운 표정
gentle_face,상냥한 표정
sacred_face,신성한 표정
smiling_face,웃는 표정
benevolent_face,자비로운 표정
pretentious_face,잘난척한 표정
joyful_face,즐거운 표정
frightened_face,질겁한표정
bright_face,해맑은 표정
desired_face,희망한 표정
earnest_face,간절한 표정
worried_face,걱정한 표정
scornful_face,경멸한 표정
distressed_face,괴로운 표정
determined_face,단호한 표정
embarrassed_face,당황한 표정
scary_face,무서운 표정
expression_face,무표정한 표정
crazy_face,미친 표정
outraged_face,분노한 표정
unstable_face,불안한 표정
unfortunate_face,불행한 표정
turnred_face,붉히는 표정
scoffing_face,비웃는 표정
miserable_face,비참한 표정
evil_face,사악한 표정
idea_face,생각한 표정
upset_face,속상한 표정
sad_face,슬픈 표정
disappointed_face,실망한 표정
serious_face,심각한 표정
gloomy_face,암울한 표정
sorrowful_face,애달픈 표정
suppressed_face,억눌린 표정
unfair_face,억울한 표정
withdistaste_face,억지 부리는 표정
arrogant_face,오만한 표정
lonely_face,외로운 표정
crying_face,우는 표정
tearful_face,울먹이는 표정
suspicious_face,의심한 표정
despair_face,절망한 표정
sleepy_face,졸린 표정
frustrated_face,좌절한 표정
boring_face,지루한 표정
irritating_face,짜증난 표정
pale_face,창백한 표정
nervous_face,초조한 표정
tired_face,피곤한 표정
angry_face,화난 표정
pathetic_face,한심한 표정
lamented_face,한탄한 표정
confused_face,혼란한 표정
charmed_face,매혹한 표정
seduced_face,유혹한 표정
drunk_face,취한 표정
ecstasy_face,황홀한 표정
aroused_face,흥분한 표정
lipstick,입술을 화장하다
lipgloss,입술을 광택나게 화장하다
lip_balm,입술을 부드럽게 화장하다
body_writing,몸에낙서하다
face_paint,얼굴에 낙서하다
paint_splatteron_face,얼굴에 페인트가 튀다
drawing_on_another's_face,다른 사람 얼굴에 낙서하다
hair_twirling,머리를 돌리다
hair_tucking,머리를 묶다
brushing_hair,머리를 빗다
hairdressing,머리를 이발하다
arm_around_neck,목에 한쪽 팔을 감다
arms_around_neck,목에 양쪽 팔을 감다
hand_on_own_neck,내 목에 손을 대다
hand_on_another's_neck,남의 목에 손을 대다
neck_biting,목을 물어 뜯다
necking,목을 빨다
kissing_neck,목에 키스하다
glaring,눈을 가늘게 뜰다
squinting,눈으로 곁눈질하다
half-closed_eyes,눈을 반쯤 가다
shading_eyes,눈 위를 손으로 가리다
sobbing,눈물을 흘리며 흐느끼다
peeking,엿보다
peephole,구멍을 엿보다
peeking_out,숨어서 엿보다
peeking_through_fingers,손가락 사이로 엿보다
closed_mouth,입을 다물다
licking_lips,입술을 핥다
pursed_lips,입술을 내밀다
open_mouth,입을 벌리다
spread_lips,입술을 벌리다
puckered_lips,입술을 오므리다
parted_lips,입술이 갈라지다
breathing,숨쉬다
heavy_breathing_(panting),거칠게 숨쉬다
coughing,기침한다
bubble_blowing,거품을 풀다
drooling,침을 흘리다
eating,먹다
chewing,씹다
swallowing,삼키다
tasting,시식하다
blood_sucking,피를 빨다
sucking_tail,꼬리를 빨다
popsicle_in_mouth,아이스크림을 빨다
breast_sucking,입으로 가슴을 빨다
breast_sucking_through_clothes,입으로 옷 위의 가슴을 빨다
mutual_breast_sucking,입으로 서로 가슴을 빨다
sucking_both_nipples,입으로 양쪽 젖꽂지를 빨다
sucking_on_multiple_breasts,입으로 가슴을 혼자서 다 빨다
double_breast_sucking,입으로 가슴을 양쪽에서 빨다
testicle_sucking,입으로 고환을 빨다
finger_sucking,입으로 손가락을 빨다
toe_sucking,입으로 발가락을 빨다
biting,이빨로 깨물다
ear_biting,이빨로 귀를 깨물다
cheek_biting,이빨로 뺨을 깨물다
head_biting,이빨로 머리를 깨물다
hand_biting,이빨로 손을 깨물다
nail_biting,이빨로 손톱을 깨물다
finger_biting,이빨로 손가락을 깨물다
thumb_biting,이빨로 엄지를 깨물다
glove_biting,이빨로 장갑을 깨물다
lip_biting,이빨로 입술을 깨물다
biting_tongue,이빨로 혀를 깨물다
tail_biting,이빨로 꼬리를 깨물다
breast_biting,이빨로 가슴을 깨물다
penis_biting,이빨로 자지를 깨물다
foreskin_biting,이빨로 포피를 깨물다
ass_biting,이빨로 엉덩이를 깨물다
tongue_grab,혀를 잡다
licking_stomach,혀로 핥아먹다
licking,혀로 핥다
licking_ear,혀로 귀를 핥다
licking_neck,혀로 목을 핥다
licking_cheek,혀로 뺨을 핥다
licking_face,혀로 얼굴을 핥다
licking_hand,혀로 손을 핥다
licking_foot,혀로 발을 핥다
licking_arm,혀로 팔을 핥다
licking_leg,혀로 다리를 할다
licking_finger,혀로 손가락을 핥다
licking_toe,혀로 발가락을 핥다
licking_collarbone,혀로 쇄골을 핥다
licking_breast,혀로 가슴을 핥다
licking_nipple,혀로 젖꼭지를 핥다
licking_armpit,혀로 겨드랑이를 핥다
licking_belly,혀로 배를 핥다
licking_navel,혀로 배꼽을 핥다
licking_thigh,혀로 허벅지를 핥다
licking_ass,혀로 엉덩이를 핥다
licking_penis,혀로 자지를 핥다
licking_testicle,혀로 고환을 핥다
covering_ears,귀를 덮다
ear_grab,귀를 잡다
ear_pull,귀를 당긴다
ear_wiggle,귀를 흔든다
hand_on_ear,귀를 만진다
holding_ears,귀를 잡는다
smelling,냄새를 맡다
smelling_clothes,옷의 냄새를 맡다
smelling_underwear,속옷의 냄새를 맡다
smelling_pantyhose,팬티스타킹의 냄새를 맡다
breast_suppress,가슴을 가린다
breast_awe,가슴을 경외한다
breast_press,가슴을 누른다
breast_pull,가슴을 당긴다
groping,가슴을 더듬다
breast_lift,가슴을 들어 올리다
breast_slap,가슴을 따귀로 때리다
breast_punch,가슴을 때리다
hanging_breasts,가슴을 매달다
weighing_breasts,가슴을 무거워한다
floating_breasts,가슴을 물에 띄우다
perky_breasts,가슴을 바짝 세우다
convenient_breasts,가슴을 받침대처럼 쓴다
breasts_apart,가슴을 벌리다
inconvenient_breasts,가슴을 불편해한다
breast_conscious,가슴을 의식한다
breast_envy,가슴을 질투한다
breast_reduction,가슴을 축소한다
unaligned_breasts,가슴을 출렁인다
bust_measuring,가슴을 측정한다
bouncing_breasts,가슴을 튕기다
flying_button,가슴을 팽창한다
breast_expansion,가슴을 확장한다
strap_between_breasts,가슴 사이에 끈을 끼우다
neckwear_between_breasts,가슴 사이에 목장식을 끼우다
head_between_breasts,가슴 사이에 머리를 끼우다
person_between_breasts,가슴 사이에 사람을 끼우다
clothes_between_breasts,가슴 사이에 옷을 끼우다
food_between_breasts,가슴 사이에 음식을 끼우다
card_between_breasts,가슴 사이에 카드를 키우다
arm_between_breasts,가슴 사이에 팔을 끼우다
breastfeeding,가슴을 수유하다
breast_grab,가슴을 잡다
guided_breast_grab,가슴을 쥐게 하다
breast_hold,가슴을 쥐다
breast_squeeze,가슴을 짜내다
breast_poke,가슴을 찌르다
self_breast_sucking,내 가슴을 빨다
covered_nipples,젖꼭지를 덮다
nipple_press,젖꼭지를 누른다
nipple_pull,젖꼭지를 당기다
nipple_flick,젖꼭지를 만진다
nipple_rub,젖꼭지를 문지르다
puffy_nipples,젖꼭지를 부풀리다
nipple_tweak,젖꼭지를 비틀다
nipple_slip,젖꼭지를 옷 밖으로 빼내다
nipple_push,젖꼭지를 찌르다
ass_grab,엉덩이를 잡다
covering_ass,엉덩이를 덮다
ass_shake,엉덩이를 흔들다
ass_expansion,엉덩이가 커지다
covering_anus,항문을 덮다
anal_fingering,항문을 만지다
anal_fisting,항문을 찌르다
spread_anus,항문을 펼치다
arm_up,팔을 위로 들다
arm_behind_back,팔 한쪽을 뒤로 들다
arms_behind_back,팔 양쪽을 뒤로 들다
arm_behind_head,팔을 머리 위로 들다
heart_arms,팔로 하트를 그리다
struggling,팔로 강제로 잡는다
arm_grab,강제로 팔을 뒤로 잡는다
leg_grab,강제로 다리를 잡는다
tied_up,강제로 끈으로 묶는다
holding_another's_wrist,강제로 손목을 잡다
choke_hold,강제로 목을 조르다
triangle_choke,강제로 다리로 목을 조르다
rear_naked_choke,강제로 등 뒤에서 목을 조르다
air_quotes,손으로 강조한다
salute,손으로 경례한다
noogie,손으로 누르다
cupping_hands,손으로 담는다
hat_tip,손으로 모자를잡다
steepled_fingers,손으로 세우다
pinky_swear,손으로 약속하다
facepalm,손으로 얼굴을 덮다
palm-fist_greeting,손으로 인사하다
fist_bump,손으로 주먹을 부딪힌다
fig_sign,손으로 주먹쥐다
palm-fist_tap,손으로 탭하다
high_five,손으로 하이파이브
own_hands_together,손을 겹치다
whole_closed_hand,손을 닫다
interlocked_fingers,손을 맞물리다
carry_me,손을 뻗다
fidgeting,손을 안절부절하다
own_hands_clasped,손을 얽는다
shushing,손을 올려 침묵시킨다
clenched_hands,손을 움켜쥔다
clenched_hand,손을 쥐다
waving,손을 흔들다
hand_mouth,손을 입에 올리다
hand_on_own_head,손을 내 머리에 올리다
hand_on_another's_head,손을 남의 머리에 올리다
hand_on_own_face,손을 내 얼굴에 올리다
hand_on_another's_face,손을 남의 얼굴에 올리다
hand_on_own_chin,손을 내 턱에 올리다
hand_on_another's_chin,손을 남의 턱에 올리다
hand_on_own_forehead,손을 이마에 올리다
hand_on_own_cheek,손을 내 뺨에 올리다
hand_on_another's_cheek,손을 남의 뺨에 올리다
hand_on_own_shoulder,손을 내 어깨에 올리다
hand_on_another's_shoulder,손을 남의 어깨에 올리다
hand_on_another's_hand,손을 남의 손에 올리다
hands_on_feet,손을 발에 올리다
hand_on_own_knee,손을 무릎(한쪽)에 올리다
hands_on_own_knees,손을 무릎(양쪽)에 올리다
hand_on_own_chest,손을 내 가슴에 올리다
hand_on_another's_chest,손을 남의 가슴에 올리다
hand_between_legs,손을 다리에 올리다
hands_on_hips,손을 엉덩이에 올리다
hand_on_own_ass,손을 엉덩이(양쪽)에 올리다
hands_on_ass,손을 엉덩이(한쪽)에 올리다
hand_on_headwear,손을 모자에 올리다
adjusting_eyewear,손을 안경에 올리다
hand_in_pocket,손을 주머니 한쪽에 넣다
hands_in_pockets,손을 주머니 양쪽에 넣다
fist_in_hand,손에 주먹을 넣다
tickling,손으로 간지럽히다
tickle_torture,손으로 간지럽혀 고문하다
dual_wielding,양손에 무기를 들다
triple_wielding,양손에 세 개를 휘두르다
quadruple_wielding,양손에 네 개를 휘두르다
lifting,손으로 들어올리다
lifted_by_self,손으로 자기 옷을 들다
lifted_by_another,손으로 다른 사람의 옷을 들다
leg_lift,손으로 다리를 들어올리다
lifting_person,손으로 사람을 들어올리다
lifting_covers,손으로 이불을 들어올리다
covering,손으로 숨기다
covering_eyes,손으로 눈을 숨기다
covering_mouth,손으로 입을 가리다
overing_face,손으로 얼굴을 숨기다
nude_cover,손으로 알몸을 숨기다
covering_breasts,손으로 가슴을 숨기다
covering_nipple,손으로 젖꼭지를 숨기다
covering_crotch,손으로 가랑이를 숨기다
beckoning,손짓하다
come_at_me_bro,손짓하며 도발하다
come_hither,손짓하며 유혹하다
outstretched_hand,아래를 향해 손짓하다
reaching_out,화면 밖을 향해 손짓하다
grabbing,손으로 잡다
grabbing_another's_ass,손으로 남의 엉덩를 잡다
torso_grab,손으로 몸통을 잡다
squeezing,손으로 강하게 짜내다
squeezing_testicles,손으로 고환을 짜내다
measuring,손으로 측정하다
penis_measuring,손으로 자지를 측정하다
waist_measuring,손으로 허리를 측정하다
fainting,손으로 부채질하다
falling,손으로 부채질하며 말하다
fanning_face,손으로 부채질해 얼굴을 식히다
fanning_crotch,손으로 부채질해 가랑이를 식히다
one_open_finger,손가락 하나를
pinky_out,새끼 손가락
middle_finger,가운데 손가락
index_finger_raised(formerly_fgsfds),검지 손가락 올리다
thumbs_up,엄지 손가락을 들다
thumbs_down,엄지 손가락을 내리다
two_open_fingers,손가락 두개를
shaka_sign,엄지와 새끼
v_v_sign,사인
v_inward_v,안쪽사인
v_v_over_eye,눈에사인
v_v_over_mouth,입에사인
two-finger_salute,두손가락경례
fox_shadow_puppet,여우 그림자
finger_gun,손가락 총
finger_heart,손가락 하트
three_open_fingers,손가락 세개를
middle_w,검지
money_gesture,돈사인
vulcan_salute,검지와 중지
akanbe,손가락으로 눈을 당긴다
straight-arm_salute,손가락으로 똑바로 경례한다
slit_throat(gesture),손가락으로 목을 긋다
finger_counting,손가락으로 숫자를 세다
open_hand,손가락으로 열다
ohikaenasutte,손가락으로 인사하다
crossed_fingers,손가락을 교차한다
spread_fingers,손가락을 벌리다
reaching,손가락을 뻗다
pinching,손가락으로 꼬집다
belly_grab,손가락으로 배를 꼬집다
cheek_pinching,손가락으로 뺨을 꼬집다
pointing,손가락으로 가리키다
pointing_at_viewer,손가락으로 뷰어를 가리키다
pointing_down,손가락으로 아래를 가리키다
pointing_forward,손가락으로 앞을 가리키다
saturday_night_fever,손가락으로 높이 가리키다
fingering,손가락을 보지에 넣다
fingering_from_behind,손가락을 뒤에서 보지를 넣다
implied_fingering,손가락을 숨겨서 보지에 넣다
fingering_through_clothes,손가락을 옷 위로 보지에 넣다
fingering_through_panties,손가락을 팬티 위로 보지에 넣다
spread_legs,다리를 벌리다
watson_cross,다리를 서서 꼬다
figure_four_sitting,다리를 앉아서 껴안다
one_knee,무릎 한쪽을 꿇다
kneeling,무릎 양쪽을 꿇다
knees_together_feet_apart,무릎을 모으고 발을 벌리다
knees_apart_feet_together,무릎을 벌리고 발을 발리다
leg_up,다리 한쪽을 위로 올리다
egs_up,다리 양쪽을 위로 올리다
knees_to_chest,다리를 가슴 위로 올리다
legs_over_head,다리를 머리 위로 올리다
outstretched_leg,다리를 길게 뻗다
pigeon_pose,다리를 뒤로 뻗다
split,다리를 서서 뻗다
kicking,다리로 차다
crotch_kick,다리로 가랑이를 차다
drop_kick,다리를 모아서 차다
flying_kick,다리로 날아서 차다
axe_kick,다리를 1자로 차다
crossed_ankles,발목을 겹치다
pigeon-toed,발가락이 위를 향하다
